"next","['pronoun', 'adjective', 'adverb']"
"night","['noun', 'exclamation']"
"no","['determiner', 'adverb', 'noun']"
"nobody","['pronoun', 'noun']"
"none","['pronoun']"
"nor","['conjunction']"
"nothing","['pronoun', 'noun', 'adverb']"
"now","['noun', 'adverb', 'conjunction']"
"odd","['suffix', 'adjective']"
"of","['preposition']"
"off","['preposition', 'adjective', 'noun', 'verb', 'adverb']"
"oh","['noun', 'exclamation']"
"ok","['adjective', 'noun', 'verb', 'adverb', 'exclamation']"
"okay","['adjective', 'noun', 'verb', 'adverb', 'exclamation']"
"on","['adverb', 'preposition']"
"once","['adverb', 'conjunction']"
"one","['number', 'determiner', 'pronoun']"
"only","['conjunction', 'adverb', 'adjective']"
"onto","['preposition']"
"opposite","['preposition', 'adjective', 'adverb', 'noun']"
"or","['conjunction', 'noun']"
"other","['pronoun', 'determiner']"
"otherwise","['conjunction', 'adverb', 'adjective']"
"ourselves","['pronoun']"
"out","['noun', 'adverb', 'verb', 'prefix', 'preposition']"
"outside","['adverb', 'adjective', 'noun', 'preposition']"
"over","['preposition', 'noun', 'adverb', 'prefix']"
"own","['verb', 'pronoun', 'determiner']"
"pack","['verb', 'noun', 'suffix']"
"pan","['verb', 'noun', 'prefix']"
"past","['preposition', 'adjective', 'adverb', 'noun']"
"per","['preposition']"
"person","['suffix', 'noun']"
"photo","['noun', 'prefix']"
"piece","['suffix', 'noun']"
"please","['verb', 'exclamation']"
"plenty","['pronoun', 'noun', 'adverb']"
"plus","['conjunction', 'preposition', 'noun', 'adjective']"
"post","['verb', 'noun', 'prefix']"
"proof","['adjective', 'verb', 'noun', 'suffix']"
"quick","['adverb', 'adjective', 'noun', 'exclamation']"
"rage","['suffix', 'noun', 'verb']"
"rapidly","[]"
"rate","['verb', 'noun', 'suffix']"
"rather","['predeterminer', 'adverb', 'exclamation']"
"re","['prefix', 'noun', 'preposition']"
"really","['adverb', 'exclamation']"
"rich","['suffix', 'adjective', 'noun']"
"right","['adjective', 'noun', 'adverb', 'exclamation', 'verb']"
"ringe","[]"
"round","['preposition', 'adjective', 'noun', 'verb', 'adverb']"
"s","['suffix', 'noun']"
"same","['pronoun', 'adjective', 'adverb']"
"save","['verb', 'noun', 'preposition']"
"say","['noun', 'exclamation', 'verb']"
"scope","['suffix', 'noun']"
"seat","['verb', 'noun', 'suffix']"
"second","['noun', 'verb', 'adverb', 'ordinal number', 'determiner']"
"self","['noun', 'prefix']"
"several","['pronoun', 'adjective', 'determiner']"
"she","['pronoun', 'noun']"
"ship","['verb', 'noun', 'suffix']"
"shit","['verb', 'noun', 'exclamation']"
"shoot","['verb', 'noun', 'exclamation']"
"short","['adjective', 'noun', 'prefix', 'verb', 'adverb']"
"since","['conjunction', 'adverb', 'preposition']"
"snap","['adjective', 'verb', 'noun', 'exclamation']"
"so","['conjunction', 'adverb', 'adjective', 'noun']"
"somebody","['pronoun']"
"someone","['pronoun']"
"something","['pronoun', 'suffix']"
"sorry","['adjective', 'exclamation']"
"speak","['verb', 'suffix']"
"specie","[]"
"spin-dry","[]"
"star","['adjective', 'verb', 'noun', 'suffix']"
"step","['verb', 'noun', 'prefix']"
"storm","['suffix', 'noun', 'verb']"
"style","['verb', 'noun', 'suffix']"
"successfully","[]"
"such","['predeterminer', 'pronoun', 'noun', 'determiner']"
"sugar","['verb', 'noun', 'exclamation']"
"super","['adverb', 'adjective', 'noun', 'prefix']"
"suppose","['conjunction', 'verb']"
"sweet","['adjective', 'exclamation', 'noun']"
"term","['verb', 'noun', 'suffix']"
"than","['conjunction', 'preposition']"
"that","['determiner', 'adverb', 'conjunction', 'pronoun']"
"the","['determiner']"
"themselves","['pronoun']"
"there","['adverb', 'exclamation']"
"they","['pronoun']"
"this","['determiner', 'adverb', 'pronoun']"
"though","['conjunction', 'adverb']"
"through","['adjective', 'adverb', 'preposition']"
"throughout","['preposition', 'adverb']"
"time","['suffix', 'noun', 'verb']"
"to","['adverb', 'preposition']"
"top","['adjective', 'noun', 'prefix', 'adverb', 'verb', 'exclamation']"
"toward","['preposition']"
"towards","['preposition']"
"under","['prefix', 'adverb', 'preposition']"
"unless","['conjunction']"
"unlike","['verb', 'preposition']"
"until","['conjunction', 'preposition']"
"up","['adjective', 'adverb', 'verb', 'prefix', 'preposition']"
"upon","['preposition']"
"urgently","[]"
"v","['preposition', 'noun']"
"versus","['preposition']"
"via","['preposition']"
"water","['verb', 'noun', 'suffix']"
"we","['pronoun']"
"welcome","['verb', 'adjective', 'exclamation', 'noun']"
"well","['noun', 'adjective', 'adverb', 'exclamation', 'verb']"
"what","['determiner', 'exclamation', 'pronoun', 'predeterminer']"
"whatever","['pronoun', 'adverb', 'determiner']"
"when","['conjunction', 'adverb', 'pronoun']"
"whenever","['conjunction', 'adverb']"
"where","['conjunction', 'adverb']"
"whereas","['conjunction']"
"whether","['conjunction']"
"which","['pronoun', 'determiner']"
"while","['conjunction', 'noun']"
"who","['pronoun', 'noun']"
"whom","['pronoun']"
"whose","['pronoun', 'determiner']"
"why","['adverb', 'noun', 'exclamation']"
"wise","['suffix', 'adjective']"
"with","['preposition']"
"within","['preposition', 'adverb']"
"without","['preposition', 'adverb']"
"woman","['suffix', 'noun']"
"work","['verb', 'noun', 'suffix']"
"year","['suffix', 'noun']"
"yet","['conjunction', 'adverb']"
"you","['pronoun']"
"yours","['pronoun']"
"yourself","['pronoun']"
"not","['pronoun']"
